source,target,weight
LD.Ptepar_usersample,H51Dh.735983,0.98601034198409632
LD.Ptepar_usersample,Tewnac.Stool.984030,0.98602929471327083
LD.Ptepar_usersample,Stannes.Stool.983985,0.98611115117566261
LD.Ptepar_usersample,H34Fr.736058,0.98614975813808592
LD.Ptepar_usersample,Caravel.Leftpalm.984066,0.98625594577408526
LD.Ptepar_usersample,sample.5.08DO5M.6.664699,0.98655636961121007
LD.Ptepar_usersample,Willowbe.Rightpalm.983956,0.98657789945440488
LD.Ptepar_usersample,Wibraview.Mouth.983941,0.98673284810171968
LD.Ptepar_usersample,Claudett.Forehead.983918,0.98686382072252077
LD.Ptepar_usersample,Mariposa.Stool.2.983675,0.98694017074887963
LD.Ptepar_usersample,Nobscot.Mouth.983927,0.98703644914928113
LD.Ptepar_usersample,Tewnac.Leftpalm.983685,0.98709845211058633
LD.Ptepar_usersample,Witch.Forehead.983845,0.98719871951991101
LD.Ptepar_usersample,Outsidemouth.T0.S1.536654,0.98751793350098083
LD.Ptepar_usersample,H41Fr.736015,0.98756946589612415
LD.Ptepar_usersample,Sylvanus.Stool.983799,0.987715786122492
LD.Ptepar_usersample,Burne.Rightpalm.984026,0.98806021125666044
LD.Ptepar_usersample,Burne.Stool.983837,0.98831453054751328
LD.Ptepar_usersample,Devenwood.Mouth.983733,0.98840626835946799
LD.Ptepar_usersample,SKM8.640201,0.98848526831329542
LD.Ptepar_usersample,Misty.Leftpalm.983770,0.98851460784949652
LD.Ptepar_usersample,Overton.Leftpalm.983873,0.98905958731431032
LD.Ptepar_usersample,MaryJane.Mouth.983829,0.9893289634883573
LD.Ptepar_usersample,Malfa.Stool.983783,0.98946862060821683
LD.Ptepar_usersample,H51Kc.735988,0.99158770317537848
LD.Ptepar_usersample,Ab.liq.T5.U4.536381,0.99216165912327114
LD.Ptepar_usersample,Nobscot.Stool.983904,0.99223157033843035
LD.Ptepar_usersample,egg.WI.2008.334.712304.739412,0.99255742720177487
LD.Ptepar_usersample,Outsidemouth.T0.S4.536554,0.99276435930115159
LD.Ptepar_usersample,Ab.liq.T6.S1.536298,0.9927774070412152
LD.Ptepar_usersample,Pitt.BAL.L.neg.7017.40289.592427,0.99286171051258865
LD.Ptepar_usersample,Pitt.BAL.L.pos.7003.34033.592386,0.99329074822130248
LD.Ptepar_usersample,BD.ERD506.710917,0.99369005680562195
LD.Ptepar_usersample,sal1.11.4.201.11.18.V1V2.481224,0.99376628002743717
LD.Ptepar_usersample,Bbo7.285891,0.99512322249192176
LD.Ptepar_usersample,Ab.liq.T6.S2.536529,0.99522478465868802
LD.Ptepar_usersample,M22Knel.140707,0.99604074886375826
LD.Ptepar_usersample,LD.Sl1.710984,0.99645722217667565
LD.Ptepar_usersample,Ab.liq.T3.S4.536470,0.99689270841792388
LD.Ptepar_usersample,Ab.swab.T7.S1.536653,0.9969964303739054
LD.Ptepar_usersample,Ab.liq.T4.S3.536516,0.99703726647442692
LD.Ptepar_usersample,fecal.T7.wet.5.536416,0.99709206984561782
LD.Ptepar_usersample,PSBplastic.12.6.285.12.6.V1V2.481418,0.9971677660304884
LD.Ptepar_usersample,ss1.11.2.253.11.30.V1V2.481421,0.99720796041505122
LD.Ptepar_usersample,S154.141182,0.99838821748643347
LD.Ptepar_usersample,Mbd11.285921,0.99878476676198624
LD.Ptepar_usersample,Ab.liq.T2.S3.536282,0.9990264218297743
LD.Ptepar_usersample,M22Kner.140718,1.0
LD.Ptepar_usersample,belly.U.T0.1.536513,1.0
LD.Ptepar_usersample,belly.S.T2.3.536539,1.0
LD.Ptepar_usersample,M22Navl.140637,1.0
LD.Ptepar_usersample,M41Aptr.140772,1.0
LD.Ptepar_usersample,M41Navl.140280,1.0
